name,activity,adress,zipcode,city,country,latitude,longitude
L'Abergement-Clémenciat,city,,1400,L'Abergement-Clémenciat,FR,46.15,4.916667
L'Abergement-de-Varey,city,,1640,L'Abergement-de-Varey,FR,46,5.416667
Amareins,city,,1090,Amareins,FR,46.083333,4.8
Ambérieu-en-Bugey,city,,1500,Ambérieu-en-Bugey,FR,45.95,5.35
Ambérieux-en-Dombes,city,,1330,Ambérieux-en-Dombes,FR,46,4.9
Ambléon,city,,1300,Ambléon,FR,45.75,5.6
Ambronay,city,,1500,Ambronay,FR,46,5.35
Ambutrix,city,,1500,Ambutrix,FR,45.933333,5.333333
Andert-et-Condon,city,,1300,Andert-et-Condon,FR,45.8,5.65
Anglefort,city,,1350,Anglefort,FR,45.916667,5.808333
Apremont,city,,1100,Apremont,FR,46.208333,5.658333
Aranc,city,,1110,Aranc,FR,46,5.5
Arandas,city,,1230,Arandas,FR,45.9,5.483333
Arbent,city,,1100,Arbent,FR,46.3,5.683333
Arbignieu,city,,1300,Arbignieu,FR,45.733333,5.65
Arbigny,city,,1190,Arbigny,FR,46.466667,4.966667
Argis,city,,1230,Argis,FR,45.933333,5.483333
Armix,city,,1510,Armix,FR,45.85,5.583333
Ars-sur-Formans,city,,1480,Ars-sur-Formans,FR,45.983333,4.816667
Artemare,city,,1510,Artemare,FR,45.866667,5.7
Asnières-sur-Saône,city,,1570,Asnières-sur-Saône,FR,46.383333,4.883333
Attignat,city,,1340,Attignat,FR,46.283333,5.166667
Bâgé-la-Ville,city,,1380,Bâgé-la-Ville,FR,46.316667,4.95
Bâgé-le-Châtel,city,,1380,Bâgé-le-Châtel,FR,46.3,4.933333
Balan,city,,1360,Balan,FR,45.833333,5.1
Baneins,city,,1990,Baneins,FR,46.116667,4.9
Beaupont,city,,1270,Beaupont,FR,46.4,5.266667
Bellignat,city,,1810,Bellignat,FR,46.25,5.616667
Béligneux,city,,1360,Béligneux,FR,45.866667,5.116667
Bellegarde-sur-Valserine,city,,1200,Bellegarde-sur-Valserine,FR,46.1,5.816667
Belley,city,,1300,Belley,FR,45.766667,5.683333
Belleydoux,city,,1130,Belleydoux,FR,46.25,5.766667
Bénonces,city,,1470,Bénonces,FR,45.833333,5.483333
Bény,city,,1370,Bény,FR,46.333333,5.283333
Béon,city,,1350,Béon,FR,45.833333,5.75
Béréziat,city,,1340,Béréziat,FR,46.366667,5.05
Bettant,city,,1500,Bettant,FR,45.933333,5.366667
Bey,city,,1290,Bey,FR,46.216667,4.85
Beynost,city,,1700,Beynost,FR,45.833333,5
Billiat,city,,1200,Billiat,FR,46.066667,5.783333
Birieux,city,,1330,Birieux,FR,45.95,5.033333
Biziat,city,,1290,Biziat,FR,46.216667,4.933333
Blyes,city,,1150,Blyes,FR,45.85,5.25
Bohas,city,,1250,Bohas,FR,46.166667,5.4
LaBoisse,city,,1120,LaBoisse,FR,45.85,5.033333
Boissey,city,,1190,Boissey,FR,46.383333,5
Bolozon,city,,1450,Bolozon,FR,46.2,5.483333
Bouligneux,city,,1330,Bouligneux,FR,46.016667,5
Bourg-en-Bresse,city,,1000,Bourg-en-Bresse,FR,46.2,5.216667
Bourg-Saint-Christophe,city,,1800,Bourg-Saint-Christophe,FR,45.883333,5.166667
Bouvent,city,,1100,Bouvent,FR,46.283333,5.633333
Boyeux-Saint-Jérôme,city,,1640,Boyeux-Saint-Jérôme,FR,46.033333,5.466667
Boz,city,,1190,Boz,FR,46.4,4.9
